,InitStorage_Powell,Inflow_Powell,Release_Powell,InitStorage_Mead,Release_Mead,YearsToEmpty
63180,10,3,3,10,3,40
63181,10,4,3,10,3,40
63182,10,5,3,10,3,40
63183,10,6,3,10,3,40
63193,10,3,3,10,4,14
63194,10,4,3,10,4,14
63195,10,5,3,10,4,40
63196,10,6,3,10,4,40
63206,10,3,3,10,5,6
63207,10,4,3,10,5,6
63208,10,5,3,10,5,6
63209,10,6,3,10,5,40
63219,10,3,3,10,6,4
63220,10,4,3,10,6,4
63221,10,5,3,10,6,4
63222,10,6,3,10,6,4
63232,10,3,3,10,7,3
63233,10,4,3,10,7,3
63234,10,5,3,10,7,3
63235,10,6,3,10,7,3
63245,10,3,3,10,8,3
63246,10,4,3,10,8,3
63247,10,5,3,10,8,3
63248,10,6,3,10,8,3
63258,10,3,3,10,9,2
63259,10,4,3,10,9,2
63260,10,5,3,10,9,2
63261,10,6,3,10,9,2
63271,10,3,3,10,10,2
63272,10,4,3,10,10,2
63273,10,5,3,10,10,2
63274,10,6,3,10,10,2
63284,10,3,3,10,11,2
63285,10,4,3,10,11,2
63286,10,5,3,10,11,2
63287,10,6,3,10,11,2
63297,10,3,4,10,3,40
63298,10,4,4,10,3,40
63299,10,5,4,10,3,40
63300,10,6,4,10,3,40
63310,10,3,4,10,4,22
63311,10,4,4,10,4,40
63312,10,5,4,10,4,40
63313,10,6,4,10,4,40
63323,10,3,4,10,5,11
63324,10,4,4,10,5,14
63325,10,5,4,10,5,14
63326,10,6,4,10,5,40
63336,10,3,4,10,6,6
63337,10,4,4,10,6,6
63338,10,5,4,10,6,6
63339,10,6,4,10,6,6
63349,10,3,4,10,7,4
63350,10,4,4,10,7,4
63351,10,5,4,10,7,4
63352,10,6,4,10,7,4
63362,10,3,4,10,8,3
63363,10,4,4,10,8,3
63364,10,5,4,10,8,3
63365,10,6,4,10,8,3
63375,10,3,4,10,9,3
63376,10,4,4,10,9,3
63377,10,5,4,10,9,3
63378,10,6,4,10,9,3
63388,10,3,4,10,10,2
63389,10,4,4,10,10,2
63390,10,5,4,10,10,2
63391,10,6,4,10,10,2
63401,10,3,4,10,11,2
63402,10,4,4,10,11,2
63403,10,5,4,10,11,2
63404,10,6,4,10,11,2
63414,10,3,5,10,3,40
63415,10,4,5,10,3,40
63416,10,5,5,10,3,40
63417,10,6,5,10,3,40
63427,10,3,5,10,4,22
63428,10,4,5,10,4,40
63429,10,5,5,10,4,40
63430,10,6,5,10,4,40
63440,10,3,5,10,5,11
63441,10,4,5,10,5,22
63442,10,5,5,10,5,40
63443,10,6,5,10,5,40
63453,10,3,5,10,6,7
63454,10,4,5,10,6,11
63455,10,5,5,10,6,14
63456,10,6,5,10,6,14
63466,10,3,5,10,7,6
63467,10,4,5,10,7,6
63468,10,5,5,10,7,6
63469,10,6,5,10,7,6
63479,10,3,5,10,8,4
63480,10,4,5,10,8,4
63481,10,5,5,10,8,4
63482,10,6,5,10,8,4
63492,10,3,5,10,9,3
63493,10,4,5,10,9,3
63494,10,5,5,10,9,3
63495,10,6,5,10,9,3
63505,10,3,5,10,10,3
63506,10,4,5,10,10,3
63507,10,5,5,10,10,3
63508,10,6,5,10,10,3
63518,10,3,5,10,11,2
63519,10,4,5,10,11,2
63520,10,5,5,10,11,2
63521,10,6,5,10,11,2
63531,10,3,6,10,3,40
63532,10,4,6,10,3,40
63533,10,5,6,10,3,40
63534,10,6,6,10,3,40
63544,10,3,6,10,4,22
63545,10,4,6,10,4,40
63546,10,5,6,10,4,40
63547,10,6,6,10,4,40
63557,10,3,6,10,5,11
63558,10,4,6,10,5,22
63559,10,5,6,10,5,40
63560,10,6,6,10,5,40
63570,10,3,6,10,6,7
63571,10,4,6,10,6,11
63572,10,5,6,10,6,22
63573,10,6,6,10,6,40
63583,10,3,6,10,7,6
63584,10,4,6,10,7,7
63585,10,5,6,10,7,11
63586,10,6,6,10,7,14
63596,10,3,6,10,8,5
63597,10,4,6,10,8,6
63598,10,5,6,10,8,6
63599,10,6,6,10,8,6
63609,10,3,6,10,9,4
63610,10,4,6,10,9,4
63611,10,5,6,10,9,4
63612,10,6,6,10,9,4
63622,10,3,6,10,10,3
63623,10,4,6,10,10,3
63624,10,5,6,10,10,3
63625,10,6,6,10,10,3
63635,10,3,6,10,11,3
63636,10,4,6,10,11,3
63637,10,5,6,10,11,3
63638,10,6,6,10,11,3
63648,10,3,7,10,3,40
63649,10,4,7,10,3,40
63650,10,5,7,10,3,40
63651,10,6,7,10,3,40
63661,10,3,7,10,4,22
63662,10,4,7,10,4,40
63663,10,5,7,10,4,40
63664,10,6,7,10,4,40
63674,10,3,7,10,5,11
63675,10,4,7,10,5,22
63676,10,5,7,10,5,40
63677,10,6,7,10,5,40
63687,10,3,7,10,6,7
63688,10,4,7,10,6,11
63689,10,5,7,10,6,22
63690,10,6,7,10,6,40
63700,10,3,7,10,7,6
63701,10,4,7,10,7,7
63702,10,5,7,10,7,11
63703,10,6,7,10,7,22
63713,10,3,7,10,8,5
63714,10,4,7,10,8,6
63715,10,5,7,10,8,7
63716,10,6,7,10,8,11
63726,10,3,7,10,9,4
63727,10,4,7,10,9,5
63728,10,5,7,10,9,6
63729,10,6,7,10,9,6
63739,10,3,7,10,10,3
63740,10,4,7,10,10,4
63741,10,5,7,10,10,4
63742,10,6,7,10,10,4
63752,10,3,7,10,11,3
63753,10,4,7,10,11,3
63754,10,5,7,10,11,3
63755,10,6,7,10,11,3
63765,10,3,8,10,3,40
63766,10,4,8,10,3,40
63767,10,5,8,10,3,40
63768,10,6,8,10,3,40
63778,10,3,8,10,4,22
63779,10,4,8,10,4,40
63780,10,5,8,10,4,40
63781,10,6,8,10,4,40
63791,10,3,8,10,5,11
63792,10,4,8,10,5,22
63793,10,5,8,10,5,40
63794,10,6,8,10,5,40
63804,10,3,8,10,6,7
63805,10,4,8,10,6,11
63806,10,5,8,10,6,22
63807,10,6,8,10,6,40
63817,10,3,8,10,7,6
63818,10,4,8,10,7,7
63819,10,5,8,10,7,11
63820,10,6,8,10,7,22
63830,10,3,8,10,8,5
63831,10,4,8,10,8,6
63832,10,5,8,10,8,7
63833,10,6,8,10,8,11
63843,10,3,8,10,9,4
63844,10,4,8,10,9,5
63845,10,5,8,10,9,6
63846,10,6,8,10,9,7
63856,10,3,8,10,10,3
63857,10,4,8,10,10,4
63858,10,5,8,10,10,5
63859,10,6,8,10,10,6
63869,10,3,8,10,11,3
63870,10,4,8,10,11,3
63871,10,5,8,10,11,4
63872,10,6,8,10,11,4
63882,10,3,9,10,3,40
63883,10,4,9,10,3,40
63884,10,5,9,10,3,40
63885,10,6,9,10,3,40
63895,10,3,9,10,4,22
63896,10,4,9,10,4,40
63897,10,5,9,10,4,40
63898,10,6,9,10,4,40
63908,10,3,9,10,5,11
63909,10,4,9,10,5,22
63910,10,5,9,10,5,40
63911,10,6,9,10,5,40
63921,10,3,9,10,6,7
63922,10,4,9,10,6,11
63923,10,5,9,10,6,22
63924,10,6,9,10,6,40
63934,10,3,9,10,7,6
63935,10,4,9,10,7,7
63936,10,5,9,10,7,11
63937,10,6,9,10,7,22
63947,10,3,9,10,8,5
63948,10,4,9,10,8,6
63949,10,5,9,10,8,7
63950,10,6,9,10,8,11
63960,10,3,9,10,9,4
63961,10,4,9,10,9,5
63962,10,5,9,10,9,6
63963,10,6,9,10,9,7
63973,10,3,9,10,10,3
63974,10,4,9,10,10,4
63975,10,5,9,10,10,5
63976,10,6,9,10,10,6
63986,10,3,9,10,11,3
63987,10,4,9,10,11,3
63988,10,5,9,10,11,4
63989,10,6,9,10,11,5
63999,10,3,10,10,3,40
64000,10,4,10,10,3,40
64001,10,5,10,10,3,40
64002,10,6,10,10,3,40
64012,10,3,10,10,4,23
64013,10,4,10,10,4,40
64014,10,5,10,10,4,40
64015,10,6,10,10,4,40
64025,10,3,10,10,5,11
64026,10,4,10,10,5,22
64027,10,5,10,10,5,40
64028,10,6,10,10,5,40
64038,10,3,10,10,6,7
64039,10,4,10,10,6,11
64040,10,5,10,10,6,22
64041,10,6,10,10,6,40
64051,10,3,10,10,7,6
64052,10,4,10,10,7,7
64053,10,5,10,10,7,11
64054,10,6,10,10,7,22
64064,10,3,10,10,8,5
64065,10,4,10,10,8,6
64066,10,5,10,10,8,7
64067,10,6,10,10,8,11
64077,10,3,10,10,9,4
64078,10,4,10,10,9,5
64079,10,5,10,10,9,6
64080,10,6,10,10,9,7
64090,10,3,10,10,10,3
64091,10,4,10,10,10,4
64092,10,5,10,10,10,5
64093,10,6,10,10,10,6
64103,10,3,10,10,11,3
64104,10,4,10,10,11,3
64105,10,5,10,10,11,4
64106,10,6,10,10,11,5
64116,10,3,11,10,3,40
64117,10,4,11,10,3,40
64118,10,5,11,10,3,40
64119,10,6,11,10,3,40
64129,10,3,11,10,4,23
64130,10,4,11,10,4,40
64131,10,5,11,10,4,40
64132,10,6,11,10,4,40
64142,10,3,11,10,5,11
64143,10,4,11,10,5,23
64144,10,5,11,10,5,40
64145,10,6,11,10,5,40
64155,10,3,11,10,6,7
64156,10,4,11,10,6,11
64157,10,5,11,10,6,22
64158,10,6,11,10,6,40
64168,10,3,11,10,7,6
64169,10,4,11,10,7,7
64170,10,5,11,10,7,11
64171,10,6,11,10,7,22
64181,10,3,11,10,8,5
64182,10,4,11,10,8,6
64183,10,5,11,10,8,7
64184,10,6,11,10,8,11
64194,10,3,11,10,9,4
64195,10,4,11,10,9,5
64196,10,5,11,10,9,6
64197,10,6,11,10,9,7
64207,10,3,11,10,10,3
64208,10,4,11,10,10,4
64209,10,5,11,10,10,5
64210,10,6,11,10,10,6
64220,10,3,11,10,11,3
64221,10,4,11,10,11,3
64222,10,5,11,10,11,4
64223,10,6,11,10,11,5
